Cell Name,Shape,Nominal Voltage (V),Cell Capacity (Ah),Cell Weight (kg),Cell Diameter/Cell Length (mm),Cell height (mm),Third dimension (mm),Cell Volume (L),Max Charging current,Max Discharging current,Cycle life at 1C,Cost/cell,Cell (Wh/kg ),Cell (Wh/L ),Series (#),Pack Voltage  (V),Parallel Theoretical,Parallel (#),Pack Capacity (Ah),Cells Total,Energy (KWh),Pack Weight (kg),Pack Volume (L),Wh/kg (pack) (cells + 30%),Wh/L (pack) (cells + 40%),Chemistry,Safe current,Max Discharge current,Energy Expected,Expected Voltage,Km Expected,Km Actual,,
21700,Cylindrical,3.7,5,0.07,21,70,16.492875,0.02424,1,2,1000,,264.2857143,763.2013201,4,14.8,89.18918919,90,450,360,6.66,32.76,12.22,203.3,545.01,NMC,2.5,10,"6,600",12,200,202,,
CBAK32140,Cylindrical,3.2,15,0.305,33.4,140.3,26.231525,0.12292,1,2,2500,,157.3770492,390.4978848,4,12.8,34.375,35,525,140,6.72,55.51,24.09,121.06,278.95,LFP,7.5,30,"6,600",12,200,204,,
Shenzen Fbtech32700,Cylindrical,3.2,6,0.143,32.8,70.9,25.7603,0.05991,1,3,2000,,134.2657343,320.4807211,4,12.8,85.9375,86,516,344,6.6,63.9496,28.85,103.21,228.77,LFP,3,18,"6,600",12,200,200,,
Hunan Huaxin32700,Cylindrical,3.2,6,0.145,32.5,70.9,25.5246875,0.05882,1,3,2000,,132.4137931,326.4195852,4,12.8,85.9375,86,516,344,6.6,64.844,28.33,101.78,232.97,LFP,3,18,"6,600",12,200,200,,
DMEGC18650,Cylindrical,3.7,3.2,0.048,18.25,65.95,14.33309375,0.01725,1,3,1000,,246.6666667,686.3768116,4,14.8,139.3581081,140,448,560,6.63,34.944,13.52,189.73,490.38,NMC,1.6,9.6,"6,600",12,200,201,,
DMEGC21700,Cylindrical,3.7,4.5,0.076,21.5,70.75,16.8855625,0.02569,1,3,800,,219.0789474,648.1121059,4,14.8,99.0990991,100,450,400,6.66,39.52,14.39,168.52,462.82,NMC,2.25,13.5,"6,600",12,200,202,,
Jianxi huanliyuan26650,Cylindrical,3.7,5,0.096,26.4,65.5,20.7339,0.03585,1,3,1500,,192.7083333,516.0390516,4,14.8,89.18918919,90,450,360,6.66,44.928,18.07,148.24,368.57,NMC,2.5,15,"6,600",12,200,202,,
EVPS26650,Cylindrical,3.2,5,0.1,26.6,71.2,20.890975,0.03957,1,2,2000,,160,404.3467273,4,12.8,103.125,104,520,416,6.66,54.08,23.05,123.15,288.94,LFP,2.5,10,"6,600",12,200,202,,
EVE628ah,Prismatic,3.2,628,11.5,353,207,71.8,5.2465,1,2,8000,,174.7478261,383.0363099,4,12.8,0.821058917,1,628,4,8.04,59.8,29.38,134.45,273.66,LFP,314,1256,"6,600",12,200,244,,
Histar50ah,Prismatic,3.2,50,1.5,193,115.7,36.7,0.81951,1,3,3500,,106.6666667,195.2386182,4,12.8,10.3125,11,550,44,7.04,85.8,50.48,82.05,139.46,LFP,25,150,"6,600",12,200,213,,
Histar100ah,Prismatic,3.2,100,2.3,221,130.7,40.7,1.17561,1,3,3500,,139.1304348,272.1991137,4,12.8,5.15625,6,600,24,7.68,71.76,39.5,107.02,194.43,LFP,50,300,"6,600",12,200,233,,
EVE105,Prismatic,3.2,105,2.04,201,195.6,36.85,1.44878,1,1,4000,,164.7058824,231.91927,4,12.8,4.910714286,5,525,20,6.72,53.04,40.57,126.7,165.64,LFP,52.5,105,"6,600",12,200,204,,
Gangfeng100,Prismatic,3.2,100,2.04,174.4,133,48.05,1.11453,1,1,3000,,156.8627451,287.1165424,4,12.8,5.15625,6,600,24,7.68,63.648,37.45,120.66,205.07,LFP,50,100,"6,600",12,200,233,,
EVE230ah,Prismatic,3.2,230,4.264,207.7,174.43,54.25,1.96543,1,2,2000,,172.6078799,374.4727617,4,12.8,2.241847826,3,690,12,8.83,66.5184,33.02,132.75,267.41,LFP,115,460,"6,600",12,200,268,,
CATL314ah,Prismatic,3.2,314,5.49,174.26,204.41,71.65,2.55221,1,2,7000,,183.0236794,393.6980107,4,12.8,1.642117834,2,628,8,8.04,57.096,28.58,140.82,281.32,LFP,157,628,"6,600",12,200,244,,
Lishen125ah,Prismatic,3.2,125,2.45,200,173,33.2,1.14872,1,2,3000,,163.2653061,348.2136639,4,12.8,4.125,5,625,20,8,63.7,32.16,125.59,248.76,LFP,62.5,250,"6,600",12,200,242,,
BYDBlade184ah,Prismatic,3.2,184,3.37,118.3,574.6,21.7,1.47506,1,2,4000,,174.7181009,399.1702032,4,12.8,2.802309783,3,552,12,7.07,52.572,24.78,134.48,285.31,LFP,92,368,"6,600",12,200,214,,
Gotion27ah,Prismatic,3.2,27,0.605,100.5,144.8,21.3,0.30997,1,2,5000,,142.8099174,278.7366519,4,12.8,19.09722222,20,540,80,6.91,62.92,34.72,109.82,199.02,LFP,13.5,54,"6,600",12,200,209,,
EVE22ah,Prismatic,3.2,22,0.64,148.7,128.7,17.7,0.33874,1,2,4000,,110,207.8290134,4,12.8,23.4375,24,528,96,6.76,79.872,45.53,84.64,148.47,LFP,11,44,"6,600",12,200,205,,
EVE125ah,Prismatic,3.2,125,2.39,200,172.5,33.5,1.15575,1,2,4000,,167.3640167,346.0956089,4,12.8,4.125,5,625,20,8,62.14,32.36,128.74,247.22,LFP,62.5,250,"6,600",12,200,242,,
Gotion102ah,Prismatic,3.2,102,1.93,160,118.5,49.9,0.9461,1,2,3000,,169.119171,344.9952436,4,12.8,5.055147059,6,612,24,7.83,60.216,31.79,130.03,246.3,LFP,51,204,"6,600",12,200,237,,
CATL180ah,Prismatic,3.7,180,2.67,146,103,77,1.15793,1,2,2500,,249.4382022,575.1643018,4,14.8,2.477477477,3,540,12,7.99,41.652,19.45,191.83,410.8,NMC,90,360,"6,600",12,200,242,,
EVE50ah,Prismatic,3.65,50.5,0.74,99.7,301.5,11.7,0.3517,1,2,3000,,249.0878378,524.097242,4,14.6,8.95158009,9,454.5,36,6.64,34.632,17.73,191.73,374.51,NMC,25.25,101,"6,600",12,200,201,,
Evlithium153ah,Prismatic,3.692,153,2.64,148.7,97.7,79.2,1.15062,1,2,3000,,213.9681818,490.9318454,4,14.768,2.92099505,3,459,12,6.78,41.184,19.33,164.63,350.75,NMC,76.5,306,"6,600",12,200,205,,
LG18650,Cylindrical,3.6,3.5,0.048,18.4,65,10,0.01196,1,2,1000,,262.5,1053.511706,4,14.4,130.952381,131,458.5,524,6.6,32.6976,8.77,201.85,752.57,NMC,1.75,7,"6,600",12,200,200,,
Samsung21700,Cylindrical,3.6,5,0.068,21,70,15,0.02205,1,2,1000,,264.7058824,816.3265306,4,14.4,91.66666667,92,460,368,6.62,32.5312,11.36,203.5,582.75,NMC,2.5,10,"6,600",12,200,201,,
Panasonic18650,Cylindrical,3.6,3.4,0.048,18.4,65,10,0.01196,1,2,1000,,255,1023.411371,4,14.4,134.8039216,135,459,540,6.61,33.696,9.04,196.17,731.19,NMC,1.7,6.8,"6,600",12,200,200,,
Yinlong30ah,Prismatic,2.3,30,1,173,97,27.8,0.46651,10,10,16000,,69,147.9067973,6,13.8,15.94202899,16,480,96,6.62,124.8,62.7,53.04,105.58,LFP,15,300,"6,600",12,200,201,,
Yinlong66160,Cylindrical,2.3,40,1.24,60,160,47.1225,0.45238,10,10,16000,,74.19354839,203.3688492,6,13.8,11.95652174,12,480,72,6.62,116.064,45.6,57.04,145.18,LFP,20,400,"6,600",12,200,201,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
